previousStep,LTerm1,LTerm2,LOp1,LTerm3,LTerm4,LOp2,LTerm5,LTerm6,LOp3,LTerm7,LTerm8,LOp4,LTerm9,LTerm10,LOp5,LTerm11,LTerm12,RTerm1,RTerm2,ROp1,RTerm3,RTerm4,ROp2,RTerm5,RTerm6,ROp3,RTerm7,RTerm8,ROp4,RTerm9,RTerm10,ROp5,RTerm11,RTerm12
x+7=12,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+3=15,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x=15-8,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none
x+5=-4,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x=-4-5,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none
x=-4-5,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none
x=-4-5,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none
x=-11-7,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none
x=-11-7,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none
x+6=-12,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+6=-12,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x=-12-6,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none
x+22=-22,x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+22=-22,x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-8=-10,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-15=-7,x,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-15=-7,x,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-13=-11,x,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-6=-23,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x=-23+6,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none
x+2=20,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+2=20,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+2=20,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-8=-10,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-8=-10,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x=-10+8,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none
x-7=20,x,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+16=28,x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+16=28,x,none,+,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+5=-4,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+5=-4,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+7=-11,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,-aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x-15=-7,x,none,-,bb,none,none,none,none,none,none,none,none,none,none,none,none,none,-a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+4=9,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+3=15,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+3=15,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x+3=15,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
x=15-3,x,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,aa,none,-,b,none,none,none,none,none,none,none,none,none,none,none,none,none
x+5=8,x,none,+,b,none,none,none,none,none,none,none,none,none,none,none,none,none,a,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
